234 111
    2147483647    0    1    2    3    4    5    6    7    8    9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28    29    30    31    32    33    34    35    36    37    38    39    40    41    42    43    44    45    46    47    48    49    50    51    52    53    54    55    56    57    58    59    60    61    62    63    64    65    66    67    68    69    70    71    72    73    74    75    76    77    78    79    80    81    82    83    84    -999    -998    -997    -996    -995    -994    -993    -992    -991    -990    -989    -988    -987    -986    -985    -984    -983    -982    -981    -980    -979    -978    -977    -976    -975
* * * * * * * * * * * s27 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s28 * * * 
* * * * * * * * * * * * * * * * r12 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * r15 s29 * * r15 * * * * * * * * * * * r15 r15 * * * * * * * * * * * * * * s30 s31 * * * * * * * * * * 
r8 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * r8 * * * * * * * * * * * * r8 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s32 * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s33 * * * s34 * * * * * * * * * * * s35 s36 * * * * * * * s37 * * * * * s38 * * * * * * s39 s40 * s41 * s42 
* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s43 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * r17 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * s44 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * s45 * * s46 * * * * * * * * * s47 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s48 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s49 * * * * * s50 * * * * s51 s52 * * * * s53 * * * * * * * * * 
* * * * * * * * * * * * * * * r31 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s54 * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s55 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * r23 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * r23 * * * r23 * * * * * * * * * * * r23 r23 * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * r20 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * r20 * * * r20 * * * * * * * * * * * r20 r20 * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * r22 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * r22 * * * r22 * * * * * * * * * * * r22 r22 * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * r19 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * r31 * * * r31 * * * * * * * * * * * r31 r31 * * * s56 * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * s57 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * r21 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * r21 * * * r21 * * * * * * * * * * * r21 r21 * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * r15 s29 * * r15 * * * * * * * * * * * r15 r15 * * * * * * * * * * * * * * s58 s31 * * * * * * * * * * 
* * s59 * * s60 * * * * * * * * * s61 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s62 * * * * * s63 * * * * s64 s65 * * * * s66 * * * * * * * * * 
* * * * * * * * * * * * * * * * * r45 r45 r45 r45 * * * r45 r45 r45 r45 r45 r45 * * * * * * * * * * * * * * * * * * * * * r45 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * * r46 r46 r46 r46 * * * r46 r46 r46 r46 r46 r46 * * * * * * * * * * * * * * * * * * * * * r46 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * s59 * * s60 * * * * * * * * * s61 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s62 * * * * * s63 * * * * s67 s65 * * * * s66 * * * * * * * * * 
* * * * * * * * * * * * r25 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * r25 * * * r25 * * * * * * * * * * * r25 r25 * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * s68 * r49 r49 r49 r49 * * * r49 r49 r49 r49 r49 r49 * * * * * * * * * * * * * * * * * * * * * r49 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * * * * * * * * * s69 s70 s71 s72 s73 s74 * * * * * * * * * * * * * * * * * * * * * r32 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s75 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * * r42 r42 s76 s77 * * * r42 r42 r42 r42 r42 r42 * * * * * * * * * * * * * * * * * * * * * r42 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * * s78 s79 * * * * * r39 r39 r39 r39 r39 r39 * * * * * * * * * * * * * * * * * * * * * r39 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * s80 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * s45 * * s46 * * * * * * * * * s47 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s49 * * * * * s50 * * * * s81 s52 * * * * s53 * * * * * * * * * 
* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s33 * * * s34 * * * * * * * * * * * s35 s36 * * * * * * * s37 * * * * * s38 * * * * * * s39 s40 * s82 * s42 
r14 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * r14 * * * * * * * * * * * * r14 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
