状态,!=,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,ID,[,],else,float,if,int,num,return,void,while,{,},#,<A>,<M>,<N>,<Program>,<S>,<if语句>,<relop>,<return语句>,<while语句>,<内部变量声明>,<内部声明>,<内部数组声明>,<函数声明>,<加法表达式>,<参数>,<参数列表>,<变量声明>,<因子>,<声明>,<声明串>,<声明类型>,<实参列表>,<形参>,<数组>,<表达式>,<语句>,<语句串>,<语句块>,<赋值语句>,<逗号和参数>,<项>,
167,r55, , ,r55,r55, ,r55,r55,r55,r55,r55, ,r55,r55,r55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
168, ,s136,r58, , , , , , , , , , , , ,s137, , , , , , ,s135, , , , , , , , , , , , , , , , , , , ,132, , , ,134, , , ,202, , ,131, , , , , ,133,
169, ,s207, , , , , , , , , , , , , ,s208, , , , , , ,s206, , , , , , , , , , , , , , , , , , , ,203, , , ,205, , , , , , , , , , , , ,204,
170, ,s136, , , , , , , , , , , , , ,s137, , , , , , ,s135, , , , , , , , , , , , , , , , , , , ,209, , , ,134, , , , , , , , , , , , ,210,
171, ,s136, , , , , , , , , , , , , ,s137, , , , , , ,s135, , , , , , , , , , , , , , , , , , , ,211, , , ,134, , , , , , , , , , , , ,210,
172, ,s136, , , , , , , , , , , , , ,s137, , , , , , ,s135, , , , , , , , , , , , , , , , , , , , , , , ,134, , , , , , , , , , , , ,212,
173, ,s136, , , , , , , , , , , , , ,s137, , , , , , ,s135, , , , , , , , , , , , , , , , , , , , , , , ,134, , , , , , , , , , , , ,213,
174, , ,s214, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
175, ,s136,r58, , , , , , , , , , , , ,s137, , , , , , ,s135, , , , , , , , , , , , , , , , , , , ,132, , , ,134, , , ,215, , ,131, , , , , ,133,
176,r64, ,r64,r64,r64,r64,r64,r64, ,r64,r64, ,r64,r64,r64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
177, , , , , , , , , , , , , , , , , , , , , , ,s216, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
178,r61, , ,r61,r61, ,r61,r61,r61,r61,r61, ,r61,r61,r61, ,s102, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,217, , , , , , , ,
179, , , , , , , , , , , , , , , ,r63, , , , ,r63, , ,r63, ,r63, ,r63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
180, , , , , , , , , , , ,r62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
181, , , , , , , , ,r62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
182, , , , , , , , , , , , , , , ,r36, , ,r2, ,r36, , ,r36, ,r36, ,r36, , , ,218, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
183, , , , , , , , , , , , , , , ,r22, , , ,s43,r22,s42, ,r22, ,r22, , , , , , , , , , , , ,40,219,41, , , , , , , , , , , , , , , , , , , ,
184, ,s148, , , , , , , , , , , , , ,s149, , , , , , ,s147, , , , , , , , , , , , , , , , , , , ,220, , , ,146, , , , , , , , , , , , ,145,
185, ,s148, , , , , , , , , , , , , ,s149, , , , , , ,s147, , , , , , , , , , , , , , , , , , , ,221, , , ,146, , , , , , , , , , , , ,145,
186, ,s148, , , , , , , , , , , , , ,s149, , , , , , ,s147, , , , , , , , , , , , , , , , , , , , , , , ,146, , , , , , , , , , , , ,222,
187, ,s148, , , , , , , , , , , , , ,s149, , , , , , ,s147, , , , , , , , , , , , , , , , , , , , , , , ,146, , , , , , , , , , , , ,223,
188, , ,s224, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
189, ,s136,r58, , , , , , , , , , , , ,s137, , , , , , ,s135, , , , , , , , , , , , , , , , , , , ,132, , , ,134, , , ,225, , ,131, , , , , ,133,
190, , ,r64,r64,r64, ,r64,r64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
191, , , , , , , , , , , , , , , , , , , , , , ,s226, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
192,r55, ,r55,r55,r55, ,r55,r55, ,r55,r55, ,r55,r55,r55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
193,r61, ,r61,r61,r61, ,r61,r61, ,r61,r61, ,r61,r61,r61, ,s116, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,227, , , , , , , ,
194, , , , , , , , , , , , , , , , , , , , , , , , , , ,s229, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,228, , , ,
195, , , , , , , , ,r47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
196, , , , , , , , ,r48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
197, , , , ,r50, ,r50, ,r50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
198, , , , ,r51, ,r51, ,r51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
199, , , ,r53,r53, ,r53,r53,r53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
200, , ,s230, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
201, , , , , , , , , , , , , , , , , ,s231, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
202, , ,r57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
203, , ,r39, , ,r39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
204, , ,r46, ,s232,r46,s233, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
205, , ,r49,s234,r49,r49,r49,s235, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
206, , ,r52,r52,r52,r52,r52,r52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
207, ,s84, , , , , , , , , , , , , ,s85, , , , , , ,s83, , , , , , , , , , , , , , , , , , , ,80, , , ,82, , , , , , ,236, , , , , ,81,
208, ,s237,r54,r54,r54,r54,r54,r54, , , , , , , , ,s239, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,238, , , , , , , ,
209,r47, ,r47, , ,r47, , , ,r47,r47, ,r47,r47,r47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
210,r46, ,r46, ,s170,r46,s171, , ,r46,r46, ,r46,r46,r46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
211,r48, ,r48, , ,r48, , , ,r48,r48, ,r48,r48,r48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
212,r50, ,r50, ,r50,r50,r50, , ,r50,r50, ,r50,r50,r50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
213,r51, ,r51, ,r51,r51,r51, , ,r51,r51, ,r51,r51,r51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
214,r53, ,r53,r53,r53,r53,r53,r53, ,r53,r53, ,r53,r53,r53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
215, , ,s240, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
216, , , , , , , , , , , , , , , , , ,s241, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
217,r62, , ,r62,r62, ,r62,r62,r62,r62,r62, ,r62,r62,r62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
218, , , , , , , , , , , , , , , , , , ,s242, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
219, , , , , , , , , , , , , , , ,s54, , , , ,s51, , ,s53, ,s52, , , , , , , , ,47, ,49,48, , , , , , , , , , , , , , , , ,46,243, ,50, , ,
220, , ,r47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
221, , ,r48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
222, , ,r50, ,r50, ,r50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
223, , ,r51, ,r51, ,r51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
224, , ,r53,r53,r53, ,r53,r53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
225, , ,s244, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
226, , , , , , , , , , , , , , , , , ,s245, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
227,r62, ,r62,r62,r62, ,r62,r62, ,r62,r62, ,r62,r62,r62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
228, , , , , , , , , , , , , , , ,r35, , , , ,r35, , ,r35, ,r35, ,r35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
229, , , , , , , , , , , , , , , ,r22, , , ,s43,r22,s42, ,r22, ,r22, , , , , , , , , , , , ,40,246,41, , , , , , , , , , , , , , , , , , , ,
230, , , ,r55,r55, ,r55,r55,r55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
231, , , ,r61,r61, ,r61,r61,r61, , , , , , , ,s166, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,247, , , , , , , ,
232, ,s207, , , , , , , , , , , , , ,s208, , , , , , ,s206, , , , , , , , , , , , , , , , , , , ,248, , , ,205, , , , , , , , , , , , ,204,
233, ,s207, , , , , , , , , , , , , ,s208, , , , , , ,s206, , , , , , , , , , , , , , , , , , , ,249, , , ,205, , , , , , , , , , , , ,204,
234, ,s207, , , , , , , , , , , , , ,s208, , , , , , ,s206, , , , , , , , , , , , , , , , , , , , , , , ,205, , , , , , , , , , , , ,250,
235, ,s207, , , , , , , , , , , , , ,s208, , , , , , ,s206, , , , , , , , , , , , , , , , , , , , , , , ,205, , , , , , , , , , , , ,251,
236, , ,s252, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
237, ,s136,r58, , , , , , , , , , , , ,s137, , , , , , ,s135, , , , , , , , , , , , , , , , , , , ,132, , , ,134, , , ,253, , ,131, , , , , ,133,
238, , ,r64,r64,r64,r64,r64,r64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
239, , , , , , , , , , , , , , , , , , , , , , ,s254, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
240,r55, ,r55,r55,r55,r55,r55,r55, ,r55,r55, ,r55,r55,r55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
241,r61, ,r61,r61,r61,r61,r61,r61, ,r61,r61, ,r61,r61,r61, ,s177, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,255, , , , , , , ,
242, , , , , , , , , , , , , , , , , , , , , , , , , , ,r8, , , ,256, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
243, , , , , , , , , , , , , , , , , , , , , , , , , , , ,s257, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
244, , ,r55,r55,r55, ,r55,r55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
245, , ,r61,r61,r61, ,r61,r61, , , , , , , , ,s191, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,258, , , , , , , ,
246, , , , , , , , , , , , , , , ,s54, , , , ,s51, , ,s53, ,s52, , , , , , , , ,47, ,49,48, , , , , , , , , , , , , , , , ,46,259, ,50, , ,
247, , , ,r62,r62, ,r62,r62,r62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
248, , ,r47, , ,r47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
249, , ,r48, , ,r48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
250, , ,r50, ,r50,r50,r50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
251, , ,r51, ,r51,r51,r51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
252, , ,r53,r53,r53,r53,r53,r53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
253, , ,s260, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
254, , , , , , , , , , , , , , , , , ,s261, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
255,r62, ,r62,r62,r62,r62,r62,r62, ,r62,r62, ,r62,r62,r62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
256, , , , , , , , , , , , , , , , , , , , , , , , , , ,r9, , ,262, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
257, , , , , , , , , , , , , , , ,r21, , ,r21, ,r21, , ,r21, ,r21, ,r21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
258, , ,r62,r62,r62, ,r62,r62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
259, , , , , , , , , , , , , , , , , , , , , , , , , , , ,s263, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
260, , ,r55,r55,r55,r55,r55,r55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
261, , ,r61,r61,r61,r61,r61,r61, , , , , , , , ,s239, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,264, , , , , , , ,
262, , , , , , , , , , , , , , , , , , , , , , , , , , ,s229, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,265, , , ,
263, , , , , , , , , , , , , , , ,r21, , , , ,r21, , ,r21, ,r21, ,r21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
264, , ,r62,r62,r62,r62,r62,r62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
265, , , , , , , , , , , , , , , ,r37, , , , ,r37, , ,r37, ,r37, ,r37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
