状态,!=,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,ID,[,],else,float,if,int,num,return,void,while,{,},#,<A>,<M>,<N>,<Program>,<S>,<if语句>,<relop>,<return语句>,<while语句>,<内部变量声明>,<内部声明>,<内部数组声明>,<函数声明>,<加法表达式>,<参数>,<参数列表>,<变量声明>,<因子>,<声明>,<声明串>,<声明类型>,<实参列表>,<形参>,<数组>,<表达式>,<语句>,<语句串>,<语句块>,<赋值语句>,<逗号和参数>,<项>,
40, , , , , , , , ,s55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
41, , , , , , , , ,s56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
42, , , , , , , , , , , , , , , ,s57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
43, , , , , , , , , , , , , , , ,s58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
44, , ,r17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
45, , , , , , , , , , , , , , , , , , , , , , , , , , , ,s59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
46, , , , , , , , , , , , , , , ,r8, , , , ,r8, , ,r8, ,r8, ,r8, , ,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
47, , , , , , , , , , , , , , , ,r28, , , , ,r28, , ,r28, ,r28, ,r28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
48, , , , , , , , , , , , , , , ,r29, , , , ,r29, , ,r29, ,r29, ,r29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
49, , , , , , , , , , , , , , , ,r30, , , , ,r30, , ,r30, ,r30, ,r30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
50, , , , , , , , , , , , , , , ,r31, , , , ,r31, , ,r31, ,r31, ,r31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
51, ,s61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
52, ,r8, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
53, ,s69, , , , , , ,s64, , , , , , ,s70, , , , , , ,s68, , , , , , , , , , , , , , , , , , , ,65, , , ,67, , , , , , ,63, , , , , ,66,
54, , , , , , , , , , , ,s71, , , , ,s73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,72, , , , , , , ,
55, , , , , , , , , , , , , , , ,r22, , , ,s43,r22,s42, ,r22, ,r22, , , , , , , , , , , , ,40,74,41, , , , , , , , , , , , , , , , , , , ,
56, , , , , , , , , , , , , , , ,r22, , , ,s43,r22,s42, ,r22, ,r22, , , , , , , , , , , , ,40,75,41, , , , , , , , , , , , , , , , , , , ,
57, , , , , , , , ,r24, , , , , , , ,s77, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,76, , , , , , , ,
58, , , , , , , , ,r25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
59, , , , , , , , , , , , , , , , , , , ,r21, ,r21, , ,r21, , , ,r21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
60, , , , , , , , , , , , , , , ,s54, , , , ,s51, , ,s53, ,s52, ,r26, , , , , , ,47, ,49,48, , , , , , , , , , , , , , , , ,46,78, ,50, , ,
61, ,s84, , , , , , , , , , , , , ,s85, , , , , , ,s83, , , , , , , , , , , , , , , , , , , ,80, , , ,82, , , , , , ,79, , , , , ,81,
62, ,s86, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
63, , , , , , , , ,s87, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
64, , , , , , , , , , , , , , , ,r34, , , , ,r34, , ,r34, ,r34, ,r34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
65,s94, , , , , , , ,r38,s89,s90, ,s93,s91,s92, , , , , , , , , , , , , , , , , , , , ,88, , , , , , , , , , , , , , , , , , , , , , , , ,
66,r46, , , ,s95, ,s96, ,r46,r46,r46, ,r46,r46,r46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
67,r49, , ,s97,r49, ,r49,s98,r49,r49,r49, ,r49,r49,r49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
68,r52, , ,r52,r52, ,r52,r52,r52,r52,r52, ,r52,r52,r52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
69, ,s84, , , , , , , , , , , , , ,s85, , , , , , ,s83, , , , , , , , , , , , , , , , , , , ,80, , , ,82, , , , , , ,99, , , , , ,81,
70,r54,s100, ,r54,r54, ,r54,r54,r54,r54,r54, ,r54,r54,r54, ,s102, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,101, , , , , , , ,
71, ,s69, , , , , , , , , , , , , ,s70, , , , , , ,s68, , , , , , , , , , , , , , , , , , , ,65, , , ,67, , , , , , ,103, , , , , ,66,
72, , , , , , , , , , , ,s104, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
73, , , , , , , , , , , , , , , , , , , , , , ,s105, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
74, , , , , , , , , , , , , , , ,r23, , , , ,r23, , ,r23, ,r23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
75, , , , , , , , , , , , , , , ,r59, , , , ,r59, , ,r59, ,r59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
76, , , , , , , , ,r60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
77, , , , , , , , , , , , , , , , , , , , , , ,s106, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
78, , , , , , , , , , , , , , , , , , , , , , , , , , , ,r27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
79, , ,s107, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
80,s94, ,r38, , , , , , ,s89,s90, ,s93,s91,s92, , , , , , , , , , , , , , , , , , , , ,108, , , , , , , , , , , , , , , , , , , , , , , , ,
81,r46, ,r46, ,s109, ,s110, , ,r46,r46, ,r46,r46,r46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
82,r49, ,r49,s111,r49, ,r49,s112, ,r49,r49, ,r49,r49,r49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
83,r52, ,r52,r52,r52, ,r52,r52, ,r52,r52, ,r52,r52,r52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
84, ,s84, , , , , , , , , , , , , ,s85, , , , , , ,s83, , , , , , , , , , , , , , , , , , , ,80, , , ,82, , , , , , ,113, , , , , ,81,
85,r54,s114,r54,r54,r54, ,r54,r54, ,r54,r54, ,r54,r54,r54, ,s116, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,115, , , , , , , ,
86, ,s84, , , , , , , , , , , , , ,s85, , , , , , ,s83, , , , , , , , , , , , , , , , , , , ,80, , , ,82, , , , , , ,117, , , , , ,81,
87, , , , , , , , , , , , , , , ,r33, , , , ,r33, , ,r33, ,r33, ,r33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
88, ,s122, , , , , , , , , , , , , ,s123, , , , , , ,s121, , , , , , , , , , , , , , , , , , , ,118, , , ,120, , , , , , , , , , , , ,119,
89, ,r40, , , , , , , , , , , , , ,r40, , , , , , ,r40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
90, ,r41, , , , , , , , , , , , , ,r41, , , , , , ,r41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
91, ,r42, , , , , , , , , , , , , ,r42, , , , , , ,r42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
92, ,r43, , , , , , , , , , , , , ,r43, , , , , , ,r43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
